Folder,x_coordinates,Gamma_pv,Density,Temperature,Pressure,Mach,Speed,c,dens0,norm_density,norm_temperature,norm_pressure,norm_dens_grad,norm_p_grad,norm_T_grad,beta,alfa,mean_gamma_pv
BOS_12_5_1,0.011,0.7903739685269054,45.01947170044643,494.8277165804445,878425.3491400834,0.1918790756531925,23.828470374876748,124.18482991832302,45.859684033245976,1.0,1.0,1.0,,,,9.551726640295936,11.217628743913414,0.9090548395684931
BOS_12_5_1,0.011150910543086172,0.7903768929109073,45.01885778663038,494.82747944066284,878415.8814087502,0.1919495026232366,23.83729450551151,124.18523715739948,45.859684033245976,0.9999863633713844,0.9999995207629369,0.9999892219283716,-0.09036233212613506,-0.07142026930637314,-0.003175636726859079,9.551726640295936,11.217628743913414,0.9090548395684931
BOS_12_5_1,0.011301821086172344,0.790379820537307,45.01824319393313,494.8272420361903,878406.4031455654,0.19201998210802507,23.8461253017697,124.18564484791243,45.859684033245976,0.9999727116630449,0.9999990409909585,0.9999784318672764,-0.09046225704431647,-0.0714997168158093,-0.003179181312324568,9.551726640295936,11.217628743913414,0.9090548395684931
BOS_12_5_1,0.011452731629258516,0.7903827514108667,45.01762792136242,494.82700436663686,878396.9143350223,0.19209051416453102,23.85496277101356,124.18605299052459,45.859684033245976,0.999959044852941,0.9999985606832767,0.9999676297990615,-0.09056232801572846,-0.07157928130115934,-0.0031827311197159818,9.551726640295936,11.217628743913414,0.9090548395684931
BOS_12_5_1,0.011603642172344688,0.790385685536541,45.017011967884,494.82676643159283,878387.4149609576,0.19216109885640514,23.86380692144012,124.18646158592513,45.859684033245976,0.9999453629180992,0.9999980798390635,0.9999568157053267,-0.09066255121717282,-0.07165896771538312,-0.003186286413935685,9.551726640295936,11.217628743913414,0.9090548395684931
BOS_12_5_1,0.011754552715430862,0.7903886229190183,45.01639533251957,494.8265282306733,878377.9050080801,0.1922317362383529,23.872657760128988,124.18687063476702,45.859684033245976,0.9999316658367888,0.9999975984575412,0.9999459895686642,-0.0907629184167475,-0.0717387694791225,-0.003189846862333258,9.551726640295936,11.217628743913414,0.9090548395684931
BOS_12_5_1,0.011905463258517034,0.7903915635633829,45.0157780142076,494.8262897634603,878368.3844598123,0.19230242637542055,23.881515295454967,124.18728013775817,45.859684033245976,0.9999179535854306,0.9999971165378648,0.9999351513702025,-0.09086344186347416,-0.07181869629543904,-0.0031934129086963925,9.551726640295936,11.217628743913414,0.9090548395684931
BOS_12_5_1,0.012056373801603206,0.7903971176413701,45.01461207263269,494.8258393588517,878350.4026365534,0.19243587082405111,23.898236236104932,124.18805357736906,45.859684033245976,0.9998920549790971,0.9999962063127632,0.9999146808506797,-0.17161561945134932,-0.13564671562500766,-0.006031554078436501,9.551726640295936,11.217628743913414,0.9090548395684931
BOS_12_5_1,0.012207284344689378,0.7904047272499666,45.013014633634604,494.8252222519192,878325.7656475662,0.19261855391408828,23.92112740835637,124.1891132617768,45.859684033245976,0.9998565716884731,0.9999949591980366,0.9998866340860784,-0.23512797647057757,-0.18585026617631675,-0.008263933726301792,9.551726640295936,11.217628743913414,0.9090548395684931
BOS_12_5_1,0.01235819488777555,0.7904123587008163,45.011412621602965,494.82460336170516,878301.0577073181,0.19280158957354981,23.944063339761026,124.19017598725172,45.859684033245976,0.9998209868188349,0.9999937084794667,0.9998585065505146,-0.23580108394317512,-0.18638549029494023,-0.008287814385217975,9.551726640295936,11.217628743913414,0.9090548395684931
