Folder,x_coordinates,Gamma_pv,Density,Temperature,Pressure,Mach,Speed,c,dens0,area,norm_density,norm_temperature,norm_pressure,norm_dens_grad,norm_p_grad,norm_T_grad,beta,alfa,mean_gamma_pv
BOS_12_5_1,0.011,0.7906503444615203,44.97057905635841,494.83562199893953,877755.6549067134,0.18702504367665018,23.233496599055886,124.22666046384973,45.765464483419734,0.00050794076,1.0,1.0,1.0,,,,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.011549666868613138,0.7906603589186231,44.96846005575241,494.8347539004496,877722.7993456172,0.1872759092064788,23.26492082604194,124.22804900331032,45.765464483419734,0.0005072811102007688,0.9999528802908376,0.999998245683109,0.9999625686705491,-0.08572412101406562,-0.0680982092760343,-0.0031916002058395543,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.012099333737226277,0.7906741083146162,44.96555072843901,494.83356176348065,877677.6877450119,0.18761980932501462,23.308000540088074,124.22995537593539,45.765464483419734,0.0005063797402947663,0.9998881862758962,0.9999958365255708,0.9999111744125307,-0.1176967698720058,-0.09350073827076644,-0.004382941151864912,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.012649000605839416,0.7907014527877759,44.95976460524882,494.8311899167104,877587.9625968297,0.18830195000513344,23.393456745809427,124.23374662435349,45.765464483419734,0.0005046017377684681,0.9997595216397807,0.9999910433242231,0.9998089533129793,-0.2340774812208756,-0.18596918495275921,-0.00872019330503443,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.013198667474452554,0.7907445657328068,44.95064152513653,494.8274477432411,877446.4741777783,0.18937264294401931,23.5276048667377,124.23972386387787,45.765464483419734,0.0005018372338317367,0.9995566538914944,0.9999834808665039,0.9996477599122185,-0.3690739971249006,-0.29325653403026286,-0.01375825641118229,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.013748334343065693,0.7907884198173819,44.94136119999246,494.823638002933,877302.5254347863,0.1904557912235619,23.663332814687095,124.24580351516046,45.765464483419734,0.0004990727298950054,0.9993502895230827,0.9999757818647774,0.9994837635401218,-0.37543534128665346,-0.2983559342232485,-0.014006668704478182,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.014298001211678832,0.790855530786516,44.92715848694102,494.81780154251794,877082.1824290687,0.1921019703678095,23.869650822788174,124.25510668675582,45.765464483419734,0.000494931921507177,0.9990344671932515,0.999963987118895,0.9992327335359449,-0.5745704314107448,-0.45669480645680904,-0.021457989476883422,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.014847668080291969,0.7909254008090267,44.91237083928672,494.8117170046406,876852.7103689326,0.19380152485355315,24.082706072775686,124.26479147144933,45.765464483419734,0.0004907319336214369,0.9987056378126966,0.9999516910399411,0.9989713030810644,-0.5982339473807242,-0.47561617737678574,-0.022370056585272587,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.01539733494890511,0.7909991272029446,44.89676586560642,494.80528764106145,876610.4951370383,0.1955794782916525,24.305641589992206,124.27500984406497,45.765464483419734,0.00048641770516529367,0.9983586337489787,0.9999386981120002,0.9986953547228393,-0.6312988530551923,-0.5020283629634024,-0.023637822620784052,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.015947001817518246,0.7910950370495428,44.876463773134056,494.7969099142935,876295.2804965222,0.19786941438420666,24.592853403037168,124.28830135052998,45.765464483419734,0.00048097743364815254,0.9979071809792263,0.9999217677892921,0.9983362403853195,-0.8213206862758138,-0.6533308773473796,-0.03080106092422849,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.016496668686131387,0.791194373515246,44.85543424794969,494.78821636144767,875968.6615695308,0.20021464437831704,24.887093936672713,124.30206598497921,45.765464483419734,0.00047553716213101136,0.9974395524624128,0.9999041992221571,0.9979641334952465,-0.8507489599897723,-0.6769680170316557,-0.031962208636028874,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.017046335554744524,0.7913367841809241,44.825282214364464,494.7757237796677,875500.1616323497,0.20353158009002584,25.303411605343456,124.32179612692676,45.765464483419734,0.00046806090553915767,0.9967690689103235,0.9998789532996233,0.9974303859374128,-1.2197998285417848,-0.9710382566450476,-0.04592949652851072,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.01759600242335766,0.7914909595998806,44.79263437087487,494.7621601553009,874992.6226570245,0.20706513109005825,25.747131084450157,124.34315207446507,45.765464483419734,0.0004603650368339135,0.9960430866309163,0.9998515429359311,0.9968521624050574,-1.3207677610964874,-1.0519526741977738,-0.04986722914797885,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.0181456692919708,0.7916553762727597,44.75781225647002,494.7476508015004,874450.9856929063,0.2107709431010886,26.212722641655844,124.36592186753117,45.765464483419734,0.0004525768178926864,0.9952687556097122,0.9998222213730618,0.9962350920836183,-1.4087278412066142,-1.1226260061771032,-0.05334424274722246,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.018695336160583942,0.7918359955411491,44.71955191365334,494.7316582868621,873855.515760428,0.21477153402676655,26.715630827246482,124.39092987023581,45.765464483419734,0.0004444771134598696,0.9944179695264659,0.9997899025303444,0.9955566915183248,-1.5478212929094943,-1.234203121983966,-0.05879714525788864,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.01924500302919708,0.7920271959726447,44.67904261362144,494.7146679611921,873224.6407719398,0.2189305256734411,27.23876600353561,124.41739643088975,45.765464483419734,0.00043637740902705295,0.993517173920051,0.9997555672381491,0.9948379550624995,-1.6388028055750525,-1.307585552024897,-0.06246563901876601,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.019794669897810216,0.7922374952018707,44.63447793193768,494.69590800280474,872530.1302300461,0.223419848833674,27.803817991424037,124.44649898641157,45.765464483419734,0.0004279805425105636,0.9925261997627489,0.9997176557427891,0.9940467205794047,-1.8028631774775927,-1.4394800346820427,-0.06897176730995266,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.020344336766423356,0.7924615992220605,44.58697758042147,494.6758328398904,871789.3173470882,0.22811149154146443,28.39474887346677,124.47750300341788,45.765464483419734,0.00041956687449070296,0.9914699458182159,0.9996770863859727,0.9932027352643382,-1.9216256333550752,-1.5354487658970122,-0.07380717145778921,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.020894003635036497,0.7927038223074956,44.53562488424042,494.65403722463816,870987.7832135061,0.23308179685577401,29.021248382964682,124.51100332353454,45.765464483419734,0.00041103219951853183,0.9903280282076667,0.9996330402132978,0.9922895720974574,-2.07747214859486,-1.6613029073132817,-0.08013248603833083,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.021443670503649634,0.7929679053782341,44.479623733349435,494.6301591227,870112.936239861,0.23838900177425207,29.690757675730563,124.5475145864611,45.765464483419734,0.000402322220062502,0.9890827440226265,0.9995847855992873,0.9912928858684884,-2.265525277487106,-1.8132550566194683,-0.0877888349578034,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.02199333737226277,0.7932545588580427,44.41881986080676,494.60410354177736,869162.1667337117,0.24402658018454282,30.40257168026737,124.58713168571929,45.765464483419734,0.0003934964560006336,0.9877306628660446,0.9995321305765601,0.9902097034351605,-2.4598192719770697,-1.9706161953346941,-0.09579442701380599,9.866009102406363,10.009671187679626,0.9007192993675134
BOS_12_5_1,0.02254300424087591,0.793568345652827,44.35224101780553,494.57541810498356,868120.0283893463,0.25006074223446995,31.165190623384074,124.63048115790191,45.765464483419734,0.0003845035722697688,0.9862501650739707,0.9994741609488321,0.9890224272968186,-2.6934455696945103,-2.159992180968633,-0.10546320151005956,9.866009102406363,10.009671187679626,0.9007192993675134
